Mesh Number: 0
Vertex Count: 2418
Triangle Count: 806
 V0: -1.136571 0.349732 0.100000 
 V1: 0.349732 0.100000 -1.274130 
 V2: 0.100000 -1.274130 0.145970 
 V3: -1.274130 0.145970 0.100000 
 V4: 0.145970 0.100000 -1.136571 
 V5: 0.100000 -1.136571 0.349732 
 V6: -1.136571 0.349732 0.700000 
 V7: 0.349732 0.700000 -1.136571 
 V8: 0.700000 -1.136571 0.349732 
 V9: -1.136571 0.349732 0.700000 
 V10: 0.349732 0.700000 -1.274130 
 V11: 0.700000 -1.274130 0.145970 
 V12: -1.274130 0.145970 0.100000 
 V13: 0.145970 0.100000 -1.274130 
 V14: 0.100000 -1.274130 0.145970 
 V15: -1.274130 0.145970 0.700000 
 V16: 0.145970 0.700000 -1.274130 
 V17: 0.700000 -1.274130 0.145970 
 V18: -1.274130 0.145970 0.700000 
 V19: 0.145970 0.700000 -1.274130 
 V20: 0.700000 -1.274130 0.145970 
 V21: -1.274130 0.145970 0.100000 
 V22: 0.145970 0.100000 -1.411891 
 V23: 0.100000 -1.411891 -0.068645 
 V24: -1.411891 -0.068645 0.100000 
 V25: -0.068645 0.100000 -1.274130 
 V26: 0.100000 -1.274130 0.145970 
 V27: -1.274130 0.145970 0.700000 
 V28: 0.145970 0.700000 -1.411891 
 V29: 0.700000 -1.411891 -0.068645 
 V30: -1.411891 -0.068645 0.100000 
 V31: -0.068645 0.100000 -1.411891 
 V32: 0.100000 -1.411891 -0.068645 
 V33: -1.411891 -0.068645 0.700000 
 V34: -0.068645 0.700000 -1.411891 
 V35: 0.700000 -1.411891 -0.068645 
 V36: -1.411891 -0.068645 0.700000 
 V37: -0.068645 0.700000 -1.411891 
 V38: 0.700000 -1.411891 -0.068645 
 V39: -1.411891 -0.068645 0.100000 
 V40: -0.068645 0.100000 -1.543713 
 V41: 0.100000 -1.543713 -0.294966 
 V42: -1.543713 -0.294966 0.100000 
 V43: -0.294966 0.100000 -1.411891 
 V44: 0.100000 -1.411891 -0.068645 
 V45: -1.411891 -0.068645 0.700000 
 V46: -0.068645 0.700000 -1.543713 
 V47: 0.700000 -1.543713 -0.294966 
 V48: -1.543713 -0.294966 0.100000 
 V49: -0.294966 0.100000 -1.543713 
 V50: 0.100000 -1.543713 -0.294966 
 V51: -1.543713 -0.294966 0.700000 
 V52: -0.294966 0.700000 -1.543713 
 V53: 0.700000 -1.543713 -0.294966 
 V54: -1.543713 -0.294966 0.700000 
 V55: -0.294966 0.700000 -1.543713 
 V56: 0.700000 -1.543713 -0.294966 
 V57: -1.543713 -0.294966 0.100000 
 V58: -0.294966 0.100000 -1.669328 
 V59: 0.100000 -1.669328 -0.518653 
 V60: -1.669328 -0.518653 0.100000 
 V61: -0.518653 0.100000 -1.543713 
 V62: 0.100000 -1.543713 -0.294966 
 V63: -1.543713 -0.294966 0.700000 
 V64: -0.294966 0.700000 -1.669328 
 V65: 0.700000 -1.669328 -0.518653 
 V66: -1.669328 -0.518653 0.100000 
 V67: -0.518653 0.100000 -1.669328 
 V68: 0.100000 -1.669328 -0.518653 
 V69: -1.669328 -0.518653 0.700000 
 V70: -0.518653 0.700000 -1.669328 
 V71: 0.700000 -1.669328 -0.518653 
 V72: -1.669328 -0.518653 0.700000 
 V73: -0.518653 0.700000 -1.669328 
 V74: 0.700000 -1.669328 -0.518653 
 V75: -1.669328 -0.518653 0.100000 
 V76: -0.518653 0.100000 -1.732574 
 V77: 0.100000 -1.732574 -0.632261 
 V78: -1.732574 -0.632261 0.100000 
 V79: -0.632261 0.100000 -1.669328 
 V80: 0.100000 -1.669328 -0.518653 
 V81: -1.669328 -0.518653 0.700000 
 V82: -0.518653 0.700000 -1.732574 
 V83: 0.700000 -1.732574 -0.632261 
 V84: -1.732574 -0.632261 0.100000 
 V85: -0.632261 0.100000 -1.732574 
 V86: 0.100000 -1.732574 -0.632261 
 V87: -1.732574 -0.632261 0.700000 
 V88: -0.632261 0.700000 -1.732574 
 V89: 0.700000 -1.732574 -0.632261 
 V90: -1.732574 -0.632261 0.700000 
 V91: -0.632261 0.700000 -1.732574 
 V92: 0.700000 -1.732574 -0.632261 
 V93: -1.732574 -0.632261 0.100000 
 V94: -0.632261 0.100000 -1.797561 
 V95: 0.100000 -1.797561 -0.751274 
 V96: -1.797561 -0.751274 0.100000 
 V97: -0.751274 0.100000 -1.732574 
 V98: 0.100000 -1.732574 -0.632261 
 V99: -1.732574 -0.632261 0.700000 
 V100: -0.632261 0.700000 -1.797561 
 V101: 0.700000 -1.797561 -0.751274 
 V102: -1.797561 -0.751274 0.100000 
 V103: -0.751274 0.100000 -1.797561 
 V104: 0.100000 -1.797561 -0.751274 
 V105: -1.797561 -0.751274 0.700000 
 V106: -0.751274 0.700000 -1.797561 
 V107: 0.700000 -1.797561 -0.751274 
 V108: -1.797561 -0.751274 0.700000 
 V109: -0.751274 0.700000 -1.797561 
 V110: 0.700000 -1.797561 -0.751274 
 V111: -1.797561 -0.751274 0.100000 
 V112: -0.751274 0.100000 -1.864020 
 V113: 0.100000 -1.864020 -0.877828 
 V114: -1.864020 -0.877828 0.100000 
 V115: -0.877828 0.100000 -1.797561 
 V116: 0.100000 -1.797561 -0.751274 
 V117: -1.797561 -0.751274 0.700000 
 V118: -0.751274 0.700000 -1.864020 
 V119: 0.700000 -1.864020 -0.877828 
 V120: -1.864020 -0.877828 0.100000 
 V121: -0.877828 0.100000 -1.864020 
 V122: 0.100000 -1.864020 -0.877828 
 V123: -1.864020 -0.877828 0.700000 
 V124: -0.877828 0.700000 -1.864020 
 V125: 0.700000 -1.864020 -0.877828 
 V126: -1.864020 -0.877828 0.700000 
 V127: -0.877828 0.700000 -1.864020 
 V128: 0.700000 -1.864020 -0.877828 
 V129: -1.864020 -0.877828 0.100000 
 V130: -0.877828 0.100000 -1.930176 
 V131: 0.100000 -1.930176 -1.011825 
 V132: -1.930176 -1.011825 0.100000 
 V133: -1.011825 0.100000 -1.864020 
 V134: 0.100000 -1.864020 -0.877828 
 V135: -1.864020 -0.877828 0.700000 
 V136: -0.877828 0.700000 -1.930176 
 V137: 0.700000 -1.930176 -1.011825 
 V138: -1.930176 -1.011825 0.100000 
 V139: -1.011825 0.100000 -1.930176 
 V140: 0.100000 -1.930176 -1.011825 
 V141: -1.930176 -1.011825 0.700000 
 V142: -1.011825 0.700000 -1.930176 
 V143: 0.700000 -1.930176 -1.011825 
 V144: -1.930176 -1.011825 0.700000 
 V145: -1.011825 0.700000 -1.930176 
 V146: 0.700000 -1.930176 -1.011825 
 V147: -1.930176 -1.011825 0.100000 
 V148: -1.011825 0.100000 -1.991240 
 V149: 0.100000 -1.991240 -1.148509 
 V150: -1.991240 -1.148509 0.100000 
 V151: -1.148509 0.100000 -1.930176 
 V152: 0.100000 -1.930176 -1.011825 
 V153: -1.930176 -1.011825 0.700000 
 V154: -1.011825 0.700000 -1.991240 
 V155: 0.700000 -1.991240 -1.148509 
 V156: -1.991240 -1.148509 0.100000 
 V157: -1.148509 0.100000 -1.991240 
 V158: 0.100000 -1.991240 -1.148509 
 V159: -1.991240 -1.148509 0.700000 
 V160: -1.148509 0.700000 -1.991240 
 V161: 0.700000 -1.991240 -1.148509 
 V162: -1.991240 -1.148509 0.700000 
 V163: -1.148509 0.700000 -1.991240 
 V164: 0.700000 -1.991240 -1.148509 
 V165: -1.991240 -1.148509 0.100000 
 V166: -1.148509 0.100000 -2.039812 
 V167: 0.100000 -2.039812 -1.278096 
 V168: -2.039812 -1.278096 0.100000 
 V169: -1.278096 0.100000 -1.991240 
 V170: 0.100000 -1.991240 -1.148509 
 V171: -1.991240 -1.148509 0.700000 
 V172: -1.148509 0.700000 -2.039812 
 V173: 0.700000 -2.039812 -1.278096 
 V174: -2.039812 -1.278096 0.100000 
 V175: -1.278096 0.100000 -2.039812 
 V176: 0.100000 -2.039812 -1.278096 
 V177: -2.039812 -1.278096 0.700000 
 V178: -1.278096 0.700000 -2.039812 
 V179: 0.700000 -2.039812 -1.278096 
 V180: -2.039812 -1.278096 0.700000 
 V181: -1.278096 0.700000 -2.039812 
 V182: 0.700000 -2.039812 -1.278096 
 V183: -2.039812 -1.278096 0.100000 
 V184: -1.278096 0.100000 -2.057706 
 V185: 0.100000 -2.057706 -1.337028 
 V186: -2.057706 -1.337028 0.100000 
 V187: -1.337028 0.100000 -2.039812 
 V188: 0.100000 -2.039812 -1.278096 
 V189: -2.039812 -1.278096 0.700000 
 V190: -1.278096 0.700000 -2.057706 
 V191: 0.700000 -2.057706 -1.337028 
 V192: -2.057706 -1.337028 0.100000 
 V193: -1.337028 0.100000 -2.057706 
 V194: 0.100000 -2.057706 -1.337028 
 V195: -2.057706 -1.337028 0.700000 
 V196: -1.337028 0.700000 -2.057706 
 V197: 0.700000 -2.057706 -1.337028 
 V198: -2.057706 -1.337028 0.700000 
 V199: -1.337028 0.700000 -2.057706 
 V200: 0.700000 -2.057706 -1.337028 
 V201: -2.057706 -1.337028 0.100000 
 V202: -1.337028 0.100000 -2.071039 
 V203: 0.100000 -2.071039 -1.390727 
 V204: -2.071039 -1.390727 0.100000 
 V205: -1.390727 0.100000 -2.057706 
 V206: 0.100000 -2.057706 -1.337028 
 V207: -2.057706 -1.337028 0.700000 
 V208: -1.337028 0.700000 -2.071039 
 V209: 0.700000 -2.071039 -1.390727 
 V210: -2.071039 -1.390727 0.100000 
 V211: -1.390727 0.100000 -2.071039 
 V212: 0.100000 -2.071039 -1.390727 
 V213: -2.071039 -1.390727 0.700000 
 V214: -1.390727 0.700000 -2.071039 
 V215: 0.700000 -2.071039 -1.390727 
 V216: -2.071039 -1.390727 0.700000 
 V217: -1.390727 0.700000 -2.071039 
 V218: 0.700000 -2.071039 -1.390727 
 V219: -2.071039 -1.390727 0.100000 
 V220: -1.390727 0.100000 -2.079947 
 V221: 0.100000 -2.079947 -1.438548 
 V222: -2.079947 -1.438548 0.100000 
 V223: -1.438548 0.100000 -2.071039 
 V224: 0.100000 -2.071039 -1.390727 
 V225: -2.071039 -1.390727 0.700000 
 V226: -1.390727 0.700000 -2.079947 
 V227: 0.700000 -2.079947 -1.438548 
 V228: -2.079947 -1.438548 0.100000 
 V229: -1.438548 0.100000 -2.079947 
 V230: 0.100000 -2.079947 -1.438548 
 V231: -2.079947 -1.438548 0.700000 
 V232: -1.438548 0.700000 -2.079947 
 V233: 0.700000 -2.079947 -1.438548 
 V234: -2.079947 -1.438548 0.700000 
 V235: -1.438548 0.700000 -2.079947 
 V236: 0.700000 -2.079947 -1.438548 
 V237: -2.079947 -1.438548 0.100000 
 V238: -1.438548 0.100000 -2.084747 
 V239: 0.100000 -2.084747 -1.480094 
 V240: -2.084747 -1.480094 0.100000 
 V241: -1.480094 0.100000 -2.079947 
 V242: 0.100000 -2.079947 -1.438548 
 V243: -2.079947 -1.438548 0.700000 
 V244: -1.438548 0.700000 -2.084747 
 V245: 0.700000 -2.084747 -1.480094 
 V246: -2.084747 -1.480094 0.100000 
 V247: -1.480094 0.100000 -2.084747 
 V248: 0.100000 -2.084747 -1.480094 
 V249: -2.084747 -1.480094 0.700000 
 V250: -1.480094 0.700000 -2.084747 
 V251: 0.700000 -2.084747 -1.480094 
 V252: -2.084747 -1.480094 0.700000 
 V253: -1.480094 0.700000 -2.084747 
 V254: 0.700000 -2.084747 -1.480094 
 V255: -2.084747 -1.480094 0.100000 
 V256: -1.480094 0.100000 -2.085797 
 V257: 0.100000 -2.085797 -1.515127 
 V258: -2.085797 -1.515127 0.100000 
 V259: -1.515127 0.100000 -2.084747 
 V260: 0.100000 -2.084747 -1.480094 
 V261: -2.084747 -1.480094 0.700000 
 V262: -1.480094 0.700000 -2.085797 
 V263: 0.700000 -2.085797 -1.515127 
 V264: -2.085797 -1.515127 0.100000 
 V265: -1.515127 0.100000 -2.085797 
 V266: 0.100000 -2.085797 -1.515127 
 V267: -2.085797 -1.515127 0.700000 
 V268: -1.515127 0.700000 -2.085797 
 V269: 0.700000 -2.085797 -1.515127 
 V270: -2.085797 -1.515127 0.700000 
 V271: -1.515127 0.700000 -2.085797 
 V272: 0.700000 -2.085797 -1.515127 
 V273: -2.085797 -1.515127 0.100000 
 V274: -1.515127 0.100000 -2.083351 
 V275: 0.100000 -2.083351 -1.543482 
 V276: -2.083351 -1.543482 0.100000 
 V277: -1.543482 0.100000 -2.085797 
 V278: 0.100000 -2.085797 -1.515127 
 V279: -2.085797 -1.515127 0.700000 
 V280: -1.515127 0.700000 -2.083351 
 V281: 0.700000 -2.083351 -1.543482 
 V282: -2.083351 -1.543482 0.100000 
 V283: -1.543482 0.100000 -2.083351 
